Fri Dec 23 13:25:21 2022 -- New position of the end effector: x = 0.016045, z = 0.000000
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.049394, z = 0.918221
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.971354, z = 0.918221
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.830211, z = 0.918221
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.846988, z = 0.918221
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.128648, z = 0.918221
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.036072, z = 0.918221
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.949201, z = 0.918221
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.257405, z = 0.918221
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.907885, z = 0.918221
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 4.907885, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.298674, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.040069, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.334110, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.194858, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.356781, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.396601, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.504521, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.617349, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.681831, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.490323, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.305700, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.565923, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.577289, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.800229, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.518520, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.667943, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.650286, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.716330, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.598814, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.860592, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.842546, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.605505, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.005618, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.668658, z = 0.953369
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.668658, z = 0.982878
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.668658, z = 0.969178
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.714366, z = 0.969178
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.230656, z = 0.969178
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.230656, z = 0.974656
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.230656, z = 1.001074
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.008956, z = 1.001074
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.008956, z = 1.060573
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.319076, z = 1.060573
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.918931, z = 1.060573
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.918931, z = 1.053960
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.918931, z = 1.028309
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.918931, z = 1.087618
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.918931, z = 1.101256
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.356862, z = 1.101256
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 5.950707, z = 1.101256
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.306435, z = 1.101256
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.306435, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.300704, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.406292, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.345047, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.409179, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.571539, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.693102, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.366209, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.286720, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.250273, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.632919, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.307718, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.615799, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.308455, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.515570, z = 1.134343
Fri Dec 23 13:25:27 2022 -- New position of the end effector: x = 6.672798, z = 1.134343
